"chart_id","ref_type","ref","exists","path"
"tuapse_19820613_133910","canonical_run_dir","methods/natal_failover/natal_failover_tuapse_19820613_133910_20260302_101307","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\natal_failover\natal_failover_tuapse_19820613_133910_20260302_101307"
"tuapse_19820613_133910","canonical_run_dir","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757"
"tuapse_19820613_133910","canonical_run_dir","methods/secondary_progressions/secondary_progressions_tuapse_19820613_progressions_now_20260302_110650","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\secondary_progressions\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650"
"tuapse_19820613_133910","canonical_run_dir","methods/solar_arc/solar_arc_tuapse_19820613_solar_arc_20260302_105559","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\solar_arc\solar_arc_tuapse_19820613_solar_arc_20260302_105559"
"tuapse_19820613_133910","canonical_source","methods/natal_failover/natal_failover_tuapse_19820613_133910_20260302_101307/00_summary.txt","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\natal_failover\natal_failover_tuapse_19820613_133910_20260302_101307\00_summary.txt"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\natal_failover_tuapse_19820613_133910_20260302_101307\00_summary.txt","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\natal_failover_tuapse_19820613_133910_20260302_101307\00_summary.txt"
"tuapse_19820613_133910","canonical_source","methods/natal_failover/natal_failover_tuapse_19820613_133910_20260302_101307/06_backup_longitudes.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\natal_failover\natal_failover_tuapse_19820613_133910_20260302_101307\06_backup_longitudes.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\natal_failover_tuapse_19820613_133910_20260302_101307\06_backup_longitudes.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\natal_failover_tuapse_19820613_133910_20260302_101307\06_backup_longitudes.csv"
"tuapse_19820613_133910","canonical_source","methods/natal_failover/natal_failover_tuapse_19820613_133910_20260302_101307/04_backup_aspects.json","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\natal_failover\natal_failover_tuapse_19820613_133910_20260302_101307\04_backup_aspects.json"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\natal_failover_tuapse_19820613_133910_20260302_101307\04_backup_aspects.json","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\natal_failover_tuapse_19820613_133910_20260302_101307\04_backup_aspects.json"
"tuapse_19820613_133910","canonical_source","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757/00_summary.txt","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\00_summary.txt"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\00_summary.txt","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\00_summary.txt"
"tuapse_19820613_133910","canonical_source","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757/02_houses_placidus.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\02_houses_placidus.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\02_houses_placidus.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\02_houses_placidus.csv"
"tuapse_19820613_133910","canonical_source","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757/03_chart_points.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\03_chart_points.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\03_chart_points.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\03_chart_points.csv"
"tuapse_19820613_133910","canonical_source","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757/04_planets_primary.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\04_planets_primary.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\04_planets_primary.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\04_planets_primary.csv"
"tuapse_19820613_133910","canonical_source","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757/05_additional_points.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\05_additional_points.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\05_additional_points.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\05_additional_points.csv"
"tuapse_19820613_133910","canonical_source","methods/house_placidus/house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757/06_custom_point_aspects.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\house_placidus\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\06_custom_point_aspects.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\06_custom_point_aspects.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\house_placidus_tuapse_19820613_133910_gc_nodes_aspects_orb6_20260302_103757\06_custom_point_aspects.csv"
"tuapse_19820613_133910","canonical_source","methods/secondary_progressions/secondary_progressions_tuapse_19820613_progressions_now_20260302_110650/00_summary.txt","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\secondary_progressions\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\00_summary.txt"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\00_summary.txt","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\00_summary.txt"
"tuapse_19820613_133910","canonical_source","methods/secondary_progressions/secondary_progressions_tuapse_19820613_progressions_now_20260302_110650/03_progressed_planet_deltas.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\secondary_progressions\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\03_progressed_planet_deltas.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\03_progressed_planet_deltas.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\03_progressed_planet_deltas.csv"
"tuapse_19820613_133910","canonical_source","methods/secondary_progressions/secondary_progressions_tuapse_19820613_progressions_now_20260302_110650/07_progressed_to_natal_aspects.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\secondary_progressions\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\07_progressed_to_natal_aspects.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\07_progressed_to_natal_aspects.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\secondary_progressions_tuapse_19820613_progressions_now_20260302_110650\07_progressed_to_natal_aspects.csv"
"tuapse_19820613_133910","canonical_source","methods/solar_arc/solar_arc_tuapse_19820613_solar_arc_20260302_105559/00_summary.txt","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\solar_arc\solar_arc_tuapse_19820613_solar_arc_20260302_105559\00_summary.txt"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\00_summary.txt","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\00_summary.txt"
"tuapse_19820613_133910","canonical_source","methods/solar_arc/solar_arc_tuapse_19820613_solar_arc_20260302_105559/03_solar_arc_directed_positions.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\solar_arc\solar_arc_tuapse_19820613_solar_arc_20260302_105559\03_solar_arc_directed_positions.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\03_solar_arc_directed_positions.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\03_solar_arc_directed_positions.csv"
"tuapse_19820613_133910","canonical_source","methods/solar_arc/solar_arc_tuapse_19820613_solar_arc_20260302_105559/04_directed_to_natal_planets_aspects.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\solar_arc\solar_arc_tuapse_19820613_solar_arc_20260302_105559\04_directed_to_natal_planets_aspects.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\04_directed_to_natal_planets_aspects.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\04_directed_to_natal_planets_aspects.csv"
"tuapse_19820613_133910","canonical_source","methods/solar_arc/solar_arc_tuapse_19820613_solar_arc_20260302_105559/05_directed_to_natal_points_aspects.csv","True","D:\Dev\CATMEastrolab\charts\tuapse_19820613_133910\methods\solar_arc\solar_arc_tuapse_19820613_solar_arc_20260302_105559\05_directed_to_natal_points_aspects.csv"
"tuapse_19820613_133910","external_source","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\05_directed_to_natal_points_aspects.csv","True","D:\Dev\CATMEastrolab\artifacts\results\_archive\tuapse_19820613_20260302_121910\solar_arc_tuapse_19820613_solar_arc_20260302_105559\05_directed_to_natal_points_aspects.csv"
